fatigue_score,acceleration,angular_velocity,body_orientation,ground_reaction_force,step_count,cadence,jump_height_cm,range_of_motion,impact_force,gait_symmetry,speed,training_duration,previous_injury_history,rest_period,repetition_count,workload_intensity,acc_rms,injury_risk
36.4367,0.5738,0.222,104.9917,43.6299,95,94.4322,77.9913,117.6313,105.1581,0.9265,8.4216,93.0425,0,10.4709,36,5.5966,1.1317,0
61.6204,-1.7294,0.5319,120.7287,492.4412,101,79.1713,43.5832,88.6387,416.0009,0.8106,2.5475,73.1506,0,9.0933,30,7.1128,1.0764,0
45.9818,-2.0542,0.2603,-123.241,264.1567,118,65.4767,23.5998,35.8871,174.854,0.6391,9.7894,94.0001,0,8.1923,23,7.8182,0.9136,0
48.3159,0.2593,0.1353,66.3688,644.5012,117,70.9991,44.8581,78.6267,248.6879,0.6331,7.4409,173.9301,0,10.5516,34,8.1976,1.0771,0
38.5453,0.0144,-0.6328,165.6878,381.1354,126,73.5483,53.5339,108.3776,330.2561,0.9683,4.6736,107.7252,1,7.8591,32,8.0486,1.0924,0
54.4585,1.9336,0.1229,-87.8178,767.6676,93,80.2304,37.6493,110.8121,329.4261,0.7486,11.6646,22.2298,0,5.4418,34,5.7382,0.9653,1
61.4141,-1.3789,-0.0854,78.0221,356.7601,102,70.8845,52.6406,97.3056,338.3328,0.9067,2.3682,88.8521,1,9.046,27,6.3721,0.8878,0
65.2355,0.3725,-0.5608,-86.7897,567.4476,106,76.3486,84.8572,117.5003,419.7258,0.7747,9.1396,127.1042,0,8.3705,25,6.2605,1.1709,0
45.5185,0.6953,0.2504,-69.4453,368.5422,103,73.6268,38.5836,74.912,327.0478,0.6496,1.8382,108.6185,0,9.2074,39,4.0663,1.1295,0
56.4488,0.3428,0.2591,-5.3035,464.4054,108,65.6337,33.8277,66.2753,315.8215,0.8101,2.6756,101.9472,0,9.6856,32,6.1018,1.0271,0
49.0491,1.0989,0.2127,142.1835,499.3606,82,70.8487,68.7688,49.8793,453.3477,0.6397,1.5391,107.1306,0,9.2374,28,4.9851,0.8417,0
58.8028,-0.6324,0.2778,-166.0817,503.8695,96,72.2839,25.2195,71.1773,292.0473,0.9452,11.228,84.7842,1,7.4133,30,4.1498,0.9124,0
49.9603,0.8322,0.062,176.2709,748.2277,95,67.8067,50.2581,107.161,288.4505,0.6197,5.6957,89.6009,0,6.0883,38,6.6166,1.0189,0
41.7587,0.5615,-0.1234,97.9478,714.1008,85,65.5652,39.5251,34.9002,344.8189,0.88,10.0508,83.0049,0,7.9568,27,5.496,0.984,1
63.2016,1.1659,0.885,-50.4796,387.593,109,74.0482,16.9331,50.162,500.0351,0.991,0.6745,88.1306,0,5.3139,39,4.2482,1.0826,0
50.9854,-0.5112,0.0741,-52.5023,506.4274,108,88.6463,47.144,117.4439,231.183,0.9543,7.0087,81.9504,0,4.7489,32,6.0484,1.19,0
46.4854,-1.1862,-1.2713,-6.1268,325.4431,99,78.5207,37.4462,101.1361,128.3796,0.9625,5.4067,99.9932,0,5.9672,27,1.8098,1.0424,0
51.7778,-0.6286,-1.2139,135.1723,291.2989,95,48.1696,60.1328,55.0587,298.984,0.7022,11.8483,133.8728,0,7.3298,31,7.9255,0.9149,0
42.6336,-1.0631,0.6025,-173.5498,399.9635,101,90.1011,53.9976,105.4502,439.7036,0.787,9.5166,45.0238,0,11.3431,34,4.4594,0.9141,0
54.1525,-0.565,-0.917,17.3699,752.4997,100,73.0698,53.508,42.988,358.4734,0.6926,11.1323,96.4315,0,10.285,23,6.7767,1.1842,0
48.037,-0.3343,-0.2722,-159.8089,246.861,92,94.3795,31.0298,90.0124,248.5138,0.8754,5.6929,106.181,0,7.4766,25,8.3167,0.9771,0
42.0521,-0.9114,-0.6079,-138.3837,586.4457,95,88.0674,38.6885,47.9348,300.6669,0.8622,9.7295,106.65,0,8.9219,21,5.9799,1.0024,0
73.769,0.0078,-0.1513,68.6397,569.0502,97,76.9334,55.0256,77.7942,201.692,0.7186,2.4949,64.9729,0,6.0033,30,4.4278,0.8682,0
39.9271,-1.179,0.1931,-95.6488,388.5184,87,78.0496,32.2197,86.8732,121.7461,0.7639,8.4205,74.776,1,8.7574,21,8.2189,0.96,0
53.5328,-0.0732,-0.3323,-165.0259,596.7479,117,68.591,49.2331,96.0257,271.5663,0.7522,11.6443,119.1512,0,9.184,33,6.1805,0.9657,0
50.568,-0.4952,-0.4078,-120.8746,596.0644,114,86.5151,56.9972,111.6102,200.4416,0.879,7.3277,95.9163,0,4.6903,26,7.5804,1.1746,0
39.744,-0.1212,0.3646,-104.8903,494.3793,76,96.1655,64.9784,101.4107,268.7015,0.6075,0.2656,86.4678,0,9.0151,28,6.5822,1.1182,0
46.6267,0.3934,1.3159,97.1215,477.4415,112,72.7308,39.1919,56.8369,151.2224,0.9701,4.142,79.0316,0,8.7254,28,8.5149,0.9098,0
36.5745,-0.4182,0.2702,44.9727,463.1727,101,73.9703,42.1604,105.8762,472.2008,0.6565,7.1542,104.7035,0,5.8434,34,6.7352,1.0869,0
70.6649,-0.778,-0.457,84.6446,373.4106,111,99.7358,53.9248,35.6456,394.8162,0.726,1.3915,86.9609,0,11.3617,28,6.9661,0.9202,0
47.3204,-0.6545,0.4356,-46.864,524.8087,113,80.8631,35.3473,96.2796,246.7255,0.6188,4.8214,119.9039,1,9.1342,30,6.8314,0.8463,0
48.1719,1.0231,0.8721,-139.2722,424.2331,85,64.7597,22.338,73.4964,304.6208,0.7757,5.4112,63.386,1,7.0368,23,7.0667,1.1365,0
69.452,1.2763,0.5317,109.9044,524.2287,117,66.3614,57.0695,69.5664,406.1793,0.895,10.5539,80.9784,0,8.0306,23,7.1275,0.9709,0
41.7602,-0.5149,-0.7719,-129.4535,408.4913,113,97.0427,44.7668,93.0455,330.7713,0.9138,6.8453,128.548,0,6.6401,34,5.5811,0.8061,0
62.9441,-0.1545,0.2642,-42.2346,401.4083,112,84.737,60.7173,35.4572,265.2748,0.7447,6.5713,91.5741,0,6.2203,37,5.1669,0.9195,0
55.9253,-1.7044,-0.2295,-85.5798,418.2892,99,69.4974,38.5541,108.5676,347.1313,0.7528,4.3833,47.9889,0,6.9958,33,6.3307,1.1224,0
30.2101,-0.1819,0.0263,-73.2475,690.3522,119,83.373,51.7467,53.3062,273.6534,0.7359,4.6078,140.3567,1,11.7733,23,6.0286,0.8796,0
46.2891,-1.4516,-0.1871,36.6684,293.3917,100,71.6785,13.9188,103.2796,285.6587,0.6879,6.7604,98.0899,0,5.3436,32,0.6431,1.034,1
54.3661,-0.4883,0.3714,-120.8332,765.8875,107,60.7992,62.1554,59.0468,474.7495,0.8858,1.9621,110.0898,0,7.6652,34,9.0565,1.0748,0
50.3557,1.0774,-0.1765,-19.4854,615.2122,96,76.545,39.2648,96.0619,342.7284,0.9574,5.6233,66.6294,1,6.2793,24,5.042,1.0808,0
50.3826,-1.5019,0.7089,49.9278,265.5455,107,79.9127,47.2155,112.7404,292.137,0.7626,6.0887,73.8673,0,7.597,38,5.3004,0.8086,0
43.9284,-0.902,-0.0015,132.8088,413.2553,91,64.3288,46.9476,92.2161,200.4504,0.8882,8.2408,81.7907,0,9.81,34,4.0059,0.9971,0
42.8713,-0.8971,-0.1117,-46.3581,256.61,115,67.4311,43.0477,51.135,354.1124,0.7956,7.1381,65.2011,1,8.6539,25,3.5751,0.944,0
46.9159,-1.6689,0.2859,-65.271,597.0282,116,69.9826,51.2903,92.9927,403.604,0.6513,3.9249,77.9547,0,8.5239,45,6.3472,1.0308,0
69.6131,0.8627,0.1786,-47.575,691.4968,84,77.9566,50.2695,93.0035,415.415,0.8047,6.3684,59.6597,1,7.5476,21,1.8934,0.8732,0
40.9232,0.2772,0.3002,0.2869,534.3789,92,81.2868,54.3847,113.1958,556.5118,0.7068,0.2345,33.8879,0,7.758,37,9.1094,0.8628,0
45.1779,1.8089,-0.0666,-67.2859,682.858,112,65.5712,24.8353,53.0686,201.979,0.8677,8.2477,48.9046,1,9.0598,29,6.1717,1.1209,0
50.2885,-0.9953,0.6672,-89.8373,527.551,96,74.1791,65.4305,117.2419,99.7493,0.7797,2.7876,63.8374,1,8.6903,39,8.0095,0.9497,0
35.3685,-1.7722,0.4951,-44.8909,645.6469,86,75.2931,47.5187,91.6648,399.8702,0.8709,9.9929,76.5371,0,9.7818,33,7.0578,0.8239,0
54.3195,0.9413,-0.0061,100.0185,543.7964,105,62.6239,56.8098,58.6495,180.0482,0.7925,8.6807,75.8929,1,8.599,27,9.3861,1.1835,0
37.12,-0.3608,0.4113,-88.9867,502.1065,103,82.2481,47.4188,75.8787,184.2684,0.9045,1.9173,99.1433,1,7.1526,28,6.7069,1.0857,0
39.1276,-0.4666,-0.1315,124.0667,616.0497,95,85.9682,28.6899,98.5616,355.7084,0.9989,3.8641,133.8006,1,10.5611,28,6.2068,1.198,0
38.6475,1.478,0.2851,-77.3616,476.5518,102,83.1192,100.627,34.2693,331.3403,0.9441,8.971,79.0745,0,3.3354,33,9.65,0.8146,0
33.5942,0.1698,0.4127,37.1077,718.5413,109,66.7834,52.5195,60.2604,235.9422,0.8829,8.4583,70.1766,0,8.1657,30,6.17,0.9881,0
62.6833,0.9042,0.1249,169.5515,452.6812,108,85.9795,18.4446,109.8253,217.7957,0.6981,6.4608,126.6095,0,12.265,41,2.8635,1.0123,0
55.2159,-0.6226,-0.4101,162.6454,585.0742,98,78.9874,48.1595,39.6244,303.1997,0.8279,3.5368,90.3038,0,8.5419,26,7.3265,0.9695,0
59.2239,-0.7251,-0.5967,-23.5321,394.0001,89,89.825,42.1538,77.5206,252.0232,0.8534,6.2687,88.0036,0,9.8177,29,3.8137,0.925,0
58.3126,-0.3654,0.1467,-155.6943,264.0201,123,84.7827,46.755,81.8011,312.3751,0.893,11.8978,115.9488,0,4.683,40,3.5586,0.8298,0
48.3189,0.6704,-0.3619,144.9463,553.6931,115,83.1213,17.2772,55.8286,200.043,0.6775,4.8367,64.095,0,10.883,26,6.3156,0.8851,1
49.7048,0.0509,0.5272,-134.3102,229.4021,106,77.1796,50.5991,66.3895,212.1681,0.8068,6.3,73.4881,0,11.6952,28,7.122,1.052,0
60.1371,0.468,-0.7544,152.4777,822.3747,116,89.5615,32.5473,111.9188,145.3083,0.785,9.6336,87.1624,1,9.0719,24,4.1513,0.8442,1
66.3843,-2.6032,0.6586,83.747,446.8757,103,68.5655,79.514,35.4352,336.6222,0.7051,0.3383,137.8038,0,8.2302,25,4.6243,0.9008,0
37.4191,-1.882,0.0255,156.3261,488.3347,109,67.3611,47.8629,44.5268,235.236,0.8156,11.0044,31.1594,0,6.4149,30,7.6496,0.8554,0
75.1996,-2.1537,-0.4271,59.5411,453.4949,113,107.4202,64.3781,111.1069,372.8722,0.9636,10.173,93.8795,1,8.1532,46,6.7374,1.0634,0
36.8435,-0.3793,-0.2257,178.2406,521.116,97,60.5745,67.6824,46.1376,79.88,0.9076,6.588,65.511,1,8.4959,29,3.8415,1.1263,0
45.3804,-1.3977,-0.1018,-11.8794,551.0278,114,68.0867,58.9285,45.6839,161.3896,0.8232,6.4252,41.7503,0,7.0791,31,5.4704,0.9602,0
50.7407,1.6897,0.2415,-61.3363,374.0183,106,88.0372,53.2474,82.6012,282.5533,0.8919,10.9527,69.7771,1,8.6571,22,7.1656,1.0999,0
